Language Name, Numbers, Time to end (User), Time to end(system), CPU Usage (%), Time to end Total
C++, 100000, 2.36, 0.00, 99, 2.364
Go, 100000, 5.54, 2.54, 103, 7.838
Go(Async), 100000, 9.31, 0.87, 309, 3.288
C#, 100000, 10.07, 4.99, 105, 14.269
Java, 100000, 10.03, 4.68, 101, 14.541
Python, 100000, 5.74, 0.02, 99, 5.786
Swift, 100000, 12.02, 0.01, 99, 12.045
Bash, 100000, 27.32, 7.08, 100, 34.094

Go(Async), 1000000, 132.19, 8.95, 328, 42.913
Go, 1000000, 73.07, 34.05, 103, 1:43.76
Python, 1000000, 54.68, 0.18, 99, 1:05.06
